;DeltaSol MX [Regler];;;;;;;;;;;;;;;;WMZ Plus Master;;;;WMZ Plus Slave 1;;;;DeltaSol MX [Regler];;;;;;WMZ Plus Slave 1;DeltaSol MX [Regler];;WMZ Plus Slave 1
Date / Time;T out PVT1 [ °C];T bas PVT1 [ °C];T haut PVT2 [ °C];T bas PVT2 [ °C];T haut PVT3 [ °C];T bas PVT3 [ °C];T haut PVT4 [ °C];T bas PVT4 [ °C];T haut PVT5 [ °C];T bas PVT5 [ °C];T haut PVT6 [ °C];T bas PVT6 [ °C];Irradiation solaire [ W/m²];T haut PVT7 [ °C];T bas PVT7 [ °C];T haut PVT8 [ °C];T bas PVT8 [ °C];T haut PVT9 [ °C];T bas PVT9 [ °C];T haut PVT10 [ °C];T bas PVT10 [ °C];T extérieure [ °C];T haut ballon [ °C];T bas ballon [ °C];Pression entrée PVT [ bar];Pression sortie PVT [ bar];T entrée PVT [ °C];T sortie PVT [ °C];T entrée PVT débitmètre [ °C];Débit [ l/h];débit [ l/h];Relais 1 [ %];Signal PWM [ %];Vitesse du vent [ m/s]
11/14/2022 00:28:38;7.8;8.4;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;8.1;7.7;8.2;8.0;0.37;0.36;8.6;8.4;8.3;59.00;103.00;100;20;0.00
11/14/2022 00:29:40;7.8;8.4;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;8.0;7.6;8.2;7.9;0.37;0.36;8.6;8.4;8.3;64.00;103.00;100;20;0.00
11/14/2022 00:30:39;7.7;8.4;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;8.0;7.6;8.2;7.9;0.36;0.36;8.6;8.4;8.3;64.00;103.00;100;20;0.00
11/14/2022 00:31:38;7.7;8.4;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;8.0;7.5;8.1;7.9;0.37;0.36;8.6;8.4;8.3;64.00;103.00;100;20;0.00
11/14/2022 00:32:37;7.6;8.4;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.9;7.5;8.1;7.9;0.36;0.36;8.6;8.4;8.3;73.00;103.00;100;20;0.00
11/14/2022 00:33:37;7.6;8.4;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.9;7.4;8.1;7.9;0.36;0.36;8.6;8.4;8.3;69.00;103.00;100;20;0.00
11/14/2022 00:34:39;7.6;8.3;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.9;7.4;8.1;7.9;0.37;0.36;8.6;8.4;8.3;69.00;103.00;100;20;0.00
11/14/2022 00:35:39;7.5;8.3;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.9;7.3;8.1;7.9;0.37;0.36;8.6;8.4;8.3;61.00;103.00;100;20;0.00
11/14/2022 00:36:37;7.5;8.3;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.9;7.3;8.1;7.9;0.37;0.36;8.6;8.4;8.3;66.00;103.00;100;20;0.00
11/14/2022 00:37:38;7.5;8.3;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;8.0;7.3;8.1;7.9;0.37;0.36;8.6;8.3;8.3;71.00;103.00;100;20;0.00
11/14/2022 00:38:40;7.5;8.3;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;8.0;7.3;8.0;7.9;0.37;0.36;8.6;8.3;8.3;59.00;103.00;100;20;0.00
11/14/2022 00:39:40;7.5;8.3;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.9;7.2;8.0;7.8;0.37;0.36;8.6;8.3;8.3;61.00;103.00;100;20;0.00
11/14/2022 00:40:37;7.5;8.3;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.9;7.2;8.0;7.8;0.37;0.36;8.6;8.3;8.3;69.00;103.00;100;20;0.00
11/14/2022 00:41:38;7.5;8.3;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.9;7.2;8.0;7.8;0.37;0.36;8.6;8.3;8.3;59.00;103.00;100;20;0.00
11/14/2022 00:42:37;7.5;8.2;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.8;7.2;8.0;7.8;0.36;0.36;8.6;8.3;8.3;71.00;103.00;100;20;0.00
11/14/2022 00:43:38;7.4;8.2;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.8;7.2;8.0;7.8;0.36;0.36;8.6;8.3;8.3;64.00;103.00;100;20;0.00
11/14/2022 00:44:39;7.4;8.2;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.8;7.2;8.0;7.8;0.37;0.36;8.6;8.3;8.3;59.00;103.00;100;20;0.00
11/14/2022 00:45:38;7.4;8.1;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.7;7.2;8.0;7.8;0.36;0.36;8.6;8.2;8.3;71.00;103.00;100;20;0.00
11/14/2022 00:46:37;7.4;8.1;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.7;7.2;8.0;7.8;0.37;0.36;8.6;8.0;8.3;73.00;103.00;100;20;0.00
11/14/2022 00:47:39;7.3;8.1;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.6;7.1;7.9;7.8;0.37;0.36;8.6;8.0;8.3;69.00;103.00;100;20;0.00
11/14/2022 00:48:37;7.3;8.1;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.6;7.1;7.9;7.8;0.36;0.36;8.6;8.0;8.3;66.00;103.00;100;20;0.00
11/14/2022 00:49:39;7.2;8.1;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.5;7.0;7.9;7.7;0.37;0.36;8.6;7.6;8.3;61.00;103.00;100;20;0.00
11/14/2022 00:50:39;7.2;8.1;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.6;7.0;7.9;7.7;0.36;0.36;8.3;7.9;8.3;64.00;0.00;100;20;0.00
11/14/2022 00:51:38;7.2;8.1;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.6;6.9;7.9;7.7;0.36;0.36;8.3;7.6;8.3;59.00;0.00;100;20;0.00
11/14/2022 00:52:37;7.2;8.1;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.6;6.9;7.8;7.7;0.36;0.36;8.3;7.6;8.3;69.00;0.00;100;20;0.00
11/14/2022 00:53:38;7.2;8.1;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.6;6.9;7.9;7.6;0.37;0.36;8.3;7.6;8.3;69.00;0.00;100;20;0.00
11/14/2022 00:54:40;7.2;8.1;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.6;6.9;7.9;7.6;0.37;0.36;8.3;7.6;8.3;66.00;103.00;100;20;0.00
11/14/2022 00:55:39;7.2;8.1;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.6;6.9;7.8;7.6;0.37;0.36;8.3;7.6;8.3;66.00;103.00;100;20;0.00
11/14/2022 00:56:38;7.2;8.0;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.7;6.9;7.8;7.6;0.37;0.36;8.3;7.6;8.3;71.00;103.00;100;20;0.00
11/14/2022 00:57:38;7.2;8.0;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.8;6.9;7.8;7.6;0.37;0.36;8.0;7.5;8.3;64.00;103.00;100;20;0.00
11/14/2022 00:58:39;7.3;8.0;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.8;6.9;7.8;7.6;0.36;0.36;8.0;7.5;8.3;66.00;103.00;100;20;0.00
11/14/2022 00:59:48;7.3;8.0;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.7;6.9;7.8;7.6;0.37;0.36;8.0;7.5;8.3;64.00;103.00;100;20;0.00
11/14/2022 01:00:39;7.3;8.0;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.7;6.9;7.8;7.6;0.37;0.36;8.0;7.5;8.3;64.00;103.00;100;20;0.00
11/14/2022 01:01:38;7.3;8.0;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.6;6.9;7.8;7.6;0.37;0.36;7.8;7.5;8.3;66.00;103.00;100;20;0.00
11/14/2022 01:02:40;7.2;8.0;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.6;7.0;7.8;7.5;0.36;0.36;7.8;7.5;8.3;71.00;103.00;100;20;0.00
11/14/2022 01:03:39;7.2;8.0;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.6;7.0;7.8;7.5;0.36;0.36;7.8;7.5;8.3;66.00;103.00;100;20;0.00
11/14/2022 01:04:39;7.2;7.9;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.5;7.0;7.7;7.5;0.36;0.36;7.8;7.5;8.3;69.00;103.00;100;20;0.00
11/14/2022 01:05:41;7.1;7.9;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.5;7.0;7.7;7.5;0.36;0.36;7.8;7.5;8.3;66.00;103.00;100;20;0.00
11/14/2022 01:06:38;7.1;7.9;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.5;7.0;7.7;7.5;0.36;0.36;7.8;7.5;8.0;66.00;103.00;100;20;0.00
11/14/2022 01:07:39;7.1;7.9;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.4;6.9;7.7;7.5;0.37;0.36;7.8;7.5;8.0;64.00;103.00;100;20;0.00
11/14/2022 01:08:38;7.1;7.9;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.4;6.9;7.7;7.5;0.36;0.36;7.8;7.5;8.0;66.00;103.00;100;20;0.00
11/14/2022 01:09:39;7.0;7.9;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.4;6.8;7.7;7.5;0.36;0.36;7.8;7.5;8.0;61.00;103.00;100;20;0.00
11/14/2022 01:10:37;7.0;7.9;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.4;6.7;7.6;7.5;0.36;0.36;7.5;7.5;8.0;69.00;103.00;100;20;0.00
11/14/2022 01:11:38;7.0;7.9;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.4;6.7;7.6;7.5;0.37;0.36;7.8;7.5;8.0;69.00;103.00;100;20;0.00
11/14/2022 01:12:37;7.0;7.9;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.3;6.7;7.6;7.4;0.36;0.36;7.8;7.5;8.0;66.00;103.00;100;20;0.00
11/14/2022 01:13:38;6.9;7.9;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.3;6.7;7.6;7.4;0.37;0.36;7.8;7.5;8.0;66.00;103.00;100;20;0.00
11/14/2022 01:14:39;6.9;7.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.3;6.7;7.6;7.4;0.37;0.36;7.5;7.5;7.8;61.00;103.00;100;20;0.00
11/14/2022 01:15:39;6.9;7.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.3;6.7;7.6;7.4;0.36;0.36;7.5;7.5;7.5;66.00;103.00;100;20;0.00
11/14/2022 01:16:36;6.9;7.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.3;6.7;7.5;7.4;0.37;0.36;7.5;7.5;7.2;69.00;103.00;100;20;0.00
11/14/2022 01:17:38;6.9;7.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.3;6.7;7.6;7.4;0.37;0.36;7.5;7.5;7.2;66.00;103.00;100;20;0.00
11/14/2022 01:18:37;6.9;7.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.3;6.8;7.5;7.4;0.36;0.36;7.5;7.5;7.2;69.00;103.00;100;20;0.00
11/14/2022 01:19:39;6.9;7.7;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.2;6.8;7.5;7.4;0.37;0.36;7.5;7.5;7.2;61.00;0.00;100;20;0.00
11/14/2022 01:20:37;6.9;7.7;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.2;6.8;7.5;7.4;0.37;0.36;7.5;7.5;7.2;66.00;0.00;100;20;0.00
11/14/2022 01:21:39;6.9;7.7;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.3;6.8;7.5;7.3;0.36;0.36;7.5;7.5;7.2;69.00;0.00;100;20;0.00
11/14/2022 01:22:37;6.9;7.7;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.3;6.8;7.5;7.3;0.36;0.36;7.5;7.5;7.2;66.00;0.00;100;20;0.00
11/14/2022 01:23:38;6.9;7.7;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.3;6.8;7.5;7.3;0.36;0.36;7.5;7.5;7.2;73.00;0.00;100;20;0.00
11/14/2022 01:24:38;6.9;7.7;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.3;6.8;7.4;7.3;0.36;0.36;7.5;7.5;7.2;69.00;103.00;100;20;0.00
11/14/2022 01:25:40;6.9;7.7;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;7.3;6.8;7.5;7.3;0.36;0.36;7.5;7.5;7.2;76.00;103.00;100;20;0.00
